source,person_name,occupation,employer,country,city,roles,industries,website,socials,wikidata_id,aliases,node_type,relationship_type
Wikidata,Frances Lankin,labor leader,,Canada,,,,,,Q5478789,,person,professional
Wikidata,Eytan Schwartz,spokesperson,,Israel,,,,,,Q5423048,,person,professional
Wikidata,Erik Borge,short film maker,,Norway,,,,,,Q5388502,,person,professional
Wikidata,Douglas Armstrong,local politician,,New Zealand,,,,,,Q5301216,,person,professional
Wikidata,Doug Parker,chief executive officer,American Airlines Group,United States,,,,,,Q5300803,,person,professional
Wikidata,Donald W. Davis,chief executive officer,Massachusetts Institute of Technology,United States,,,,,,Q5295250,,person,professional
Wikidata,Dylan Gould,businessperson,,United States,,,,,,Q5318719,,person,professional
Wikidata,Emanuel Sakel,chief executive officer,,Israel,,,,,,Q5369133,,person,professional
Wikidata,Emerson Spartz,chief executive officer,,United States,,,,,,Q5370930,,person,professional
Wikidata,Emerik Blum,chief executive officer,,Yugoslavia,,,,,,Q5370819,,person,professional
Wikidata,Eileen Murray,chief executive officer,Financial Industry Regulatory Authority,United States,,,,,,Q5349417,,person,professional
Wikidata,E. Hunter Harrison,businessperson,,United States,,,,,,Q5321922,,person,professional
Wikidata,Ellen Pao,lawyer,"Cravath, Swaine & Moore",United States,,,,,,Q5364968,,person,professional
Wikidata,Eric Daniels,chief executive officer,,United States,,,,,,Q5386350,,person,professional
Wikidata,Elie Tahari,fashion designer,,Israel,,,,,,Q5360729,,person,professional
Wikidata,Dominic Barton,manager,McKinsey & Company,Canada,,,,,,Q5290463,,person,professional
Wikidata,Francis Jones,chief executive officer,,,,,,,,Q5481534,,person,professional
Wikidata,Erik Bødtker Øyno,businessperson,,Norway,,,,,,Q5388520,,person,professional
Wikidata,Efi Arazi,manager,,Israel,,,,,,Q5347535,,person,professional
Wikidata,Felipe Gozon,chief executive officer,,Philippines,,,,,,Q5441987,,person,professional
Wikidata,Francisco D'Souza,chief executive officer,Cognizant,United States,,,,,,Q5483294,,person,professional
Wikidata,Don Dinero,chief executive officer,,United States,,,,,,Q5292524,,person,professional
Wikidata,Elizabeth Marincola,chief executive officer,,,,,,,,Q5363162,,person,professional
Wikidata,Fiona Watt,chief executive officer,European Molecular Biology Organization,United Kingdom,,,,,,Q5451129,,person,professional
Wikidata,Frank Fertitta III,businessperson,,United States,,,,,,Q5486603,,person,professional
Wikidata,Faisal Farooqui,chief executive officer,,,,,,,,Q5431054,,person,professional
Wikidata,Eli Driks,association football player,,Israel,,,,,,Q5360206,,person,professional
Wikidata,Doug Leeds,chief executive officer,,United States,,,,,,Q5300658,,person,professional
Wikidata,Eugene Melnyk,businessperson,,Canada,,,,,,Q5407539,,person,professional
Wikidata,Evan G. Greenberg,chief executive officer,,United States,,,,,,Q5415394,,person,professional
Wikidata,Ellie Dylan,chief executive officer,,United States,,,,,,Q5365339,,person,professional
Wikidata,Jeffrey Bewkes,entrepreneur,WarnerMedia,United States,,,,,,Q1376418,,person,professional
Wikidata,Chase G. Woodhouse,chief executive officer,United States Department of Agriculture,United States,,,,,,Q1067999,,person,professional
Wikidata,Dilip Shanghvi,chief executive officer,Sun Pharmaceutical,India,,,,,,Q1225503,,person,professional
Wikidata,Esham,record producer,,United States,,,,,,Q1238828,,person,professional
Wikidata,Jim Ratcliffe,engineer,Advent International,United Kingdom,,,,,,Q1440023,,person,professional
Wikidata,Israel Hasson,chief executive officer,Israel Antiquities Authority,Israel,,,,,,Q1385119,,person,professional
Wikidata,Jim Clyburn,teacher,John C. West,United States,,,,,,Q1289889,,person,professional
Wikidata,Timotheus Höttges,chief executive officer,Deutsche Telekom,Germany,,,,,,Q1386366,,person,professional
Wikidata,Aliko Dangote,industrialist,Dangote Group,Nigeria,,,,,,Q1394965,,person,professional
Wikidata,Bradford Meade,publisher,,United States,,,,,,Q1440857,,person,professional
Wikidata,Lionel Luthor,murderer,,United States,,,,,,Q1130271,,person,professional
Wikidata,Dieter Scheiff,chief executive officer,,Germany,,,,,,Q1222756,,person,professional
Wikidata,Koo Bon-moo,chief executive officer,Yonsei University,South Korea,,,,,,Q1276156,,person,professional
Wikidata,Tess Mercer,chief executive officer,LCorp,United States,,,,,,Q1451047,,person,professional
Wikidata,Heinz Malangré,writer,,Germany,,,,,,Q1397642,,person,professional
Wikidata,Jay S. Fishman,chief executive officer,The Travelers Companies,United States,,,,,,Q1405941,,person,professional
Wikidata,Jeff Merkley,politician,,United States,,,,,,Q1368405,,person,professional
Wikidata,Ed Colligan,businessperson,,United States,,,,,,Q1282308,,person,professional
Wikidata,Frank Leidenberger,chief executive officer,,Germany,,,,,,Q1383119,,person,professional
Wikidata,Arthur Raymond Halbritter,chief executive officer,,United States,,,,,,Q1384309,,person,professional
Wikidata,Liz Allan,chief executive officer,,United States,,,,,,Q1132203,,person,professional
Wikidata,C. R. Smith,politician,,United States,,,,,,Q1148985,,person,professional
Wikidata,Jack Canfield,writer,,United States,,,,,,Q1374512,,person,professional
Wikidata,Olli-Pekka Kallasvuo,businessperson,,Finland,,,,,,Q1374132,,person,professional
